trialno,feature_name,feature_file
01,NÉGY_LÁB,stimuli/f00188.png
02,LEHET_OLVAS,stimuli/f00532.png
03,LEHET_RAJZOL,stimuli/f01198.png
04,MIBŐL_FÉM,stimuli/f01764.png
05,RÉSZE_FEJ,stimuli/f01056.png
06,RÉSZE_LÁB,stimuli/f00189.png
07,FAJTA_TÁRGY,stimuli/f02335.png
08,LEHET_MEGY,stimuli/f01538.png
09,HOL_PIAC,stimuli/f01585.png
10,HOL_HÁZ,stimuli/f00772.png
