trialno,feature_name,feature_file
01,ILYEN_HOSSZÚ,stimuli/f01327.png
02,ILYEN_CUKI,stimuli/f00976.png
03,RÉSZE_FÜL,stimuli/f00168.png
04,RÉSZE_FEJ,stimuli/f01056.png
05,RÉSZE_SZÁJ,stimuli/f00171.png
06,ILYEN_KICSI,stimuli/f00966.png
07,ILYEN_SZŐRÖS,stimuli/f01669.png
08,TUD_FUT,stimuli/f00429.png
09,RÉSZE_LÁB,stimuli/f00189.png
10,NÉGY_LÁB,stimuli/f00188.png
